"Subgroup","Arm","Historical","Contemp1999","Perfect"
"All","Control",30.0650531708763,40.3553730766685,60.9927846360544
"","Screen",33.3339410554095,44.4938217235764,67.68194413684
"Early stage","Control",50.2374755444943,66.548111772753,103.413378412745
"","Screen",50.6602707579434,66.9121543934178,103.980875419659
"Advanced stage","Control",9.89182388422517,14.1615866500816,18.5704940016755
"","Screen",9.89333783238005,14.1643030050923,18.5735143523067
"Shifted cases","Control",9.88324243519784,14.1461896485465,18.5533738744752
"","Screen",53.4796911770478,69.3397816831249,107.765243355189
"Baseline survivals","Early.ER+HER2+",50.2008032128514,50.2008032128514,50.2008032128514
"","Early.ER+HER2-",50.2008032128514,50.2008032128514,50.2008032128514
"","Early.ER-HER2+",50.2008032128514,50.2008032128514,50.2008032128514
"","Early.ER-HER2-",50.2008032128514,50.2008032128514,50.2008032128514
"","Advanced.ER+HER2+",9.35191246609932,9.35191246609932,9.35191246609932
"","Advanced.ER+HER2-",9.35191246609932,9.35191246609932,9.35191246609932
"","Advanced.ER-HER2+",9.35191246609932,9.35191246609932,9.35191246609932
"","Advanced.ER-HER2-",9.35191246609932,9.35191246609932,9.35191246609932
