"Trial","Effect","Follow-Up Year","Measure","Estimate","UI"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.022,"(0.0216,0.023)"
"Historical","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0191,"(0.0188,0.02)"
"Historical","Effect of screening, same treatment",25,"MRR",0.8682,"(0.8654,0.8819)"
"Historical","Effect of screening, same treatment",25,"ARR",0.0029,"(0.0027,0.0031)"
"Historical","Effect of screening, same treatment",25,"NNS",344.8276,"(337.5535,393.7008)"
"Contemp1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0182,"(0.0179,0.019)"
"Contemp1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0157,"(0.0155,0.0165)"
"Contemp1999","Effect of screening, same treatment",25,"MRR",0.8626,"(0.8607,0.8805)"
"Contemp1999","Effect of screening, same treatment",25,"ARR",0.0025,"(0.0023,0.0027)"
"Contemp1999","Effect of screening, same treatment",25,"NNS",400,"(396.8254,459.9505)"
"Perfect","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0156,"(0.0153,0.0164)"
"Perfect","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0133,"(0.013,0.0139)"
"Perfect","Effect of screening, same treatment",25,"MRR",0.8526,"(0.8428,0.8647)"
"Perfect","Effect of screening, same treatment",25,"ARR",0.0023,"(0.0022,0.0026)"
"Perfect","Effect of screening, same treatment",25,"NNS",434.7826,"(404.8583,475.1185)"
"Contemp1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.022,"(0.0216,0.023)"
"Contemp1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0182,"(0.0179,0.019)"
"Contemp1999","Effect of treatment, without screening",25,"MRR",0.8273,"(0.8217,0.8392)"
"Contemp1999","Effect of treatment, without screening",25,"ARR",0.0038,"(0.0037,0.0041)"
"Contemp1999","Effect of treatment, without screening",25,"NNS",263.1579,"(254.2915,287.9439)"
"Contemp1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0191,"(0.0188,0.02)"
"Contemp1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0157,"(0.0155,0.0165)"
"Contemp1999","Effect of treatment, with screening",25,"MRR",0.822,"(0.8184,0.8386)"
"Contemp1999","Effect of treatment, with screening",25,"ARR",0.0034,"(0.0033,0.0037)"
"Contemp1999","Effect of treatment, with screening",25,"NNS",294.1176,"(287.1505,324.1762)"
"Perfect","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.022,"(0.0216,0.023)"
"Perfect","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0156,"(0.0153,0.0164)"
"Perfect","Effect of treatment, without screening",25,"MRR",0.7091,"(0.7024,0.7253)"
"Perfect","Effect of treatment, without screening",25,"ARR",0.0064,"(0.0062,0.0069)"
"Perfect","Effect of treatment, without screening",25,"NNS",156.25,"(153.5509,167.7174)"
"Perfect","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.0191,"(0.0188,0.02)"
"Perfect","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0133,"(0.013,0.0139)"
"Perfect","Effect of treatment, with screening",25,"MRR",0.6963,"(0.6858,0.7145)"
"Perfect","Effect of treatment, with screening",25,"ARR",0.0058,"(0.0057,0.0064)"
"Perfect","Effect of treatment, with screening",25,"NNS",172.4138,"(166.3203,183.206)"
