"Follow-up","Measure","SubMeasure","Y1977","Y1999","Y2015"
"10","Cumulative breast cancer mortality","","","",""
"","","No screening","47 (42,51)","36 (32,40)","28 (25,31)"
"","","Screening","40 (35,43)","31 (27,34)","23 (20,27)"
"","MRRs within trials","","0.85 (0.81,0.88)","0.85 (0.82,0.89)","0.83 (0.79,0.87)"
"","MRRs across trials","","","",""
"","","No screening","1.00 (1.00,1.00)","0.78 (0.73,0.82)","0.60 (0.55,0.65)"
"","","Screening","0.85 (0.81,0.88)","0.66 (0.62,0.71)","0.50 (0.46,0.55)"
"","ARRs within trials","","7.0 (5.7,8.5)","5.4 (4.0,6.7)","4.6 (3.4,5.8)"
"","ARRs across trials","","","",""
"","","No screening"," 0.0 ( 0.0, 0.0)","10.4 ( 8.2,12.8)","18.5 (15.8,21.0)"
"","","Screening"," 7.0 ( 5.7, 8.5)","15.8 (13.4,18.7)","23.1 (19.9,26.2)"
"25","Cumulative breast cancer mortality","","","",""
"","","No screening","220 (209,231)","181 (173,189)","146 (139,153)"
"","","Screening","191 (183,202)","157 (150,166)","124 (117,131)"
"","MRRs within trials","","0.87 (0.86,0.88)","0.87 (0.85,0.89)","0.85 (0.83,0.87)"
"","MRRs across trials","","","",""
"","","No screening","1.00 (1.00,1.00)","0.82 (0.81,0.84)","0.66 (0.65,0.68)"
"","","Screening","0.87 (0.86,0.88)","0.72 (0.70,0.73)","0.56 (0.55,0.58)"
"","ARRs within trials","","28.2 (25.5,32.2)","23.7 (20.3,26.7)","21.8 (18.6,24.7)"
"","ARRs across trials","","","",""
"","","No screening"," 0.0 ( 0.0, 0.0)","38.7 (35.7,42.4)","74.0 (69.2,80.1)"
"","","Screening","28.2 (25.5, 32.2)","62.4 (58.0, 67.8)","95.8 (89.7,102.5)"
