"Subgroup","Arm","Historical","Contemp1999","Perfect"
"All","Control",55.1938787922725,73.6427920539159,112.720239595109
"","Screen",62.2240739762836,82.7322008991143,127.242622914592
"Early stage","Control",100.494121654364,133.121618257118,206.866219274038
"","Screen",100.904801574402,133.414770567557,207.566357995812
"Advanced stage","Control",9.89182388422517,14.1615866500816,18.5704940016755
"","Screen",9.89333783238005,14.1643030050923,18.5735143523067
"Shifted cases","Control",9.88324243519784,14.1461896485465,18.5533738744752
"","Screen",103.643430857418,135.369664056572,212.235250513004
"Baseline survivals","Early.ER+HER2+",100.420762996957,100.420762996957,100.420762996957
"","Early.ER+HER2-",100.420762996957,100.420762996957,100.420762996957
"","Early.ER-HER2+",100.420762996957,100.420762996957,100.420762996957
"","Early.ER-HER2-",100.420762996957,100.420762996957,100.420762996957
"","Advanced.ER+HER2+",9.35191246609932,9.35191246609932,9.35191246609932
"","Advanced.ER+HER2-",9.35191246609932,9.35191246609932,9.35191246609932
"","Advanced.ER-HER2+",9.35191246609932,9.35191246609932,9.35191246609932
"","Advanced.ER-HER2-",9.35191246609932,9.35191246609932,9.35191246609932
